States/Uts,population(1901),population(1951),population(2011),population(2023),population(2024),Male(literacy rate),Female (literacy rate)Average (literacy rate),average (literacy rate),Area (sq. km)
Andaman and Nicobar Islands,24649,30971,380581,403000,404000,90.11,81.84,86.27,8249
Andhra Pradesh,13071874,20216637,49386799,53217000,53402000,73.4,59.5,66.4,162970
Arunachal Pradesh,-,-,1383727,1565000,1580000,73.69,59.57,66.95,83743
Assam,3289680,8028856,31205576,35824000,36159000,90.1,81.2,85.9,78438
Bihar,27311865,29085017,104099452,127368000,129205000,79.7,60.5,70.9,94163
Chandigarh,21967,24261,1055450,1235000,1247000,90.54,81.38,86.43,114
Chhattisgarh,4181554,7456706,25545198,30294000,30638000,85.4,68.7,77.3,135192
Dadra & Nagar Haveli and Daman & Diu,56285,90143,586956,1293000,1387000,89.5,76.2,80.5,603
Delhi,405819,1744072,16787941,21490000,21884000,93.7,82.4,88.7,1483
Goa,475513,547448,1458545,1577000,1585000,92.81,81.84,87.4,3702
Gujarat,9094748,16262657,60439692,71794000,72653000,89.5,74.8,82.4,196244
Haryana,4623064,5673597,25351462,30331000,30694000,88.0,71.3,80.4,44212
Himachal Pradesh,1920294,2385981,6864602,7480000,7518000,92.9,80.5,86.6,55673
Jammu & Kashmir,2078895,3171512,12267013,13636000,13733000,85.7,68.0,77.3,55538
Jharkhand,6068233,9697254,32988134,39632000,40129000,83.0,64.7,74.3,79716
Karnataka,13054754,19401956,61095297,67833000,68256000,83.4,70.5,77.2,191791
Kerala,6396262,13549118,33406061,35824000,35967000,97.4,95.2,96.2,38852
Lakshadweep,13882,21035,64473,69000,69000,96.11,88.25,92.28,32
Madhya Pradesh,16860768,18614931,72626809,86923000,87954000,81.2,65.5,73.7,308252
Maharashtra,19391643,32002564,112374333,126710000,127684000,90.7,78.4,84.8,307713
Manipur,284465,577635,2855794,3231000,3260000,86.49,73.17,79.85,22327
Meghalaya,340524,605674,2966889,3356000,3387000,77.17,73.78,75.48,22429
Mizoram,82434,196202,1097206,1241000,1252000,93.72,89.4,91.58,21081
Nagaland,101550,212975,1978502,2238000,2258000,83.29,76.69,80.11,16579
Odisha,10302917,14645946,41974218,46373000,46663000,84.0,70.3,77.3,155707
Puducherry,246354,317253,1247953,1658000,1695000,92.12,81.22,86.55,490
Punjab,7544790,9160500,27743338,30796000,30992000,88.5,78.5,83.7,50362
Rajasthan,10294090,15970774,68548437,81316000,82188000,80.8,57.6,69.7,342239
Sikkim,59014,137725,610577,691000,697000,87.29,76.43,82.2,7096
Tamil Nadu,19252630,30119047,72147030,76936000,77165000,87.9,77.9,82.9,130060
Telangana,5972448,10898622,35193978,38135000,38317000,80.5,65.1,72.8,112077
Tripura,173325,639029,3673917,4156000,4194000,92.18,83.15,87.75,10486
Uttar Pradesh,48627670,60273743,199812341,236484000,238875000,81.8,63.4,73.0,240928
Uttarakhand,1979866,2945929,10086292,11676000,11795000,94.3,80.7,87.6,53483
West Bengal,16940088,26299980,91276115,99243000,99723000,84.8,76.1,80.5,88752
